Localidad	Derivado		Boca de expendio					Dirección			Bandera		Precio sin impuesto	Precio final	Volumen informado (m3)		Exento
CAPITAL FEDERAL	Gas Oil Grado 2		SAN JORGE S.A.					AV JUAN B. JUSTO Nº 9091			SHELL C.A.P.S.A.		1.574,97	2.199,00	30,23		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GHIOLDI HNOS.S.A.DE T.C.I.Y F.					AV.AMANCIO ALCORTA Y LOS PATOS			BLANCA		1.642,40	2.279,00	48,40		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Congreso 4801 (esq. Galvan)			AXION		1.576,28	2.199,00	19,86		NO
CAPITAL FEDERAL	Gas Oil Grado 2		LEJEM S.A.					INTENDENTE RABANAL 1733			AXION		1.560,50	2.189,00	235,42		NO
CAPITAL FEDERAL	Gas Oil Grado 2		CORRO NORTE S.A					CORRO 501			YPF		1.727,69	2.101,00	113,36		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PANAMERICANA SRL					AV. SAN MARTIN 5316			YPF		1.498,59	2.111,00	16,35		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION DE SERVICIOS AVALOS S.A.					AV.DE LOS INCAS 4801			YPF		1.497,40	2.111,00	51,50		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ROCCA COMBUSTIBLES S.A.					Av. Juan B. Alberdi 7019			SHELL C.A.P.S.A.		1.581,52	2.199,00	41,29		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					AV. F. Beiró 5501 esq. Moliere			AXION		1.568,02	2.189,00	37,17		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DARSISA S.A.					AV. JUAN B. JUSTO Nº 7099			YPF		630,19	2.101,00	54,76		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GC CONGRESO S.R.L					ENTRE RIOS 1102			PUMA		1.565,96	2.180,00	7,35		NO
CAPITAL FEDERAL	Gas Oil Grado 2		UNENS S.R.L.					ESPINOSA 605			YPF		1.400,78	2.101,00	31,90		NO
CAPITAL FEDERAL	Gas Oil Grado 2		BOYACA C.I.S.A.					AV.ELCANO 4000			YPF		1.501,46	2.111,00	25,97		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION DE SERVICIO VAZQUEZ HNOS.SRL					Piedrabuena 4611			PUMA		1.581,53	2.180,00	117,26		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Cabildo 685/89/90/95 (esq. Olleros)			AXION		1.576,28	2.199,00	10,63		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Las Heras 2499 (esq. Galileo)			AXION		1.576,28	2.199,00	19,97		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GASPARQUE S.A.					AV. DR. RICARDO BALBIN 5041			YPF		1.523,40	2.111,00	231,78		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GASOLEO S.A.					Av. Juan B. Alberdi 7500			YPF		1.486,10	2.112,00	264,90		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION LIMA S.R.L.					Lima 835			SHELL C.A.P.S.A.		1.574,97	2.199,00	50,32		NO
CAPITAL FEDERAL	Gas Oil Grado 2		UNICOMB S.R.L					Ramón L. Falcón 6398			AXION		1.263,00	2.209,00	11,78		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ROJO Y AMARILLO S.R.L.					A.THOMAS 2010			SHELL C.A.P.S.A.		1.555,81	2.209,00	21,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av.Cordoba 5657 (esq. Bonpland)			AXION		1.568,02	2.189,00	32,55		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTACION S.A.					Asamblea 19			SHELL C.A.P.S.A.		1.255,04	2.219,00	9,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ANALIA SUSANA MARTINEZ					AV. LARRAZABAL 801			YPF		1.381,50	2.112,00	24,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		COLON SRL					Av. de los Constituyentes 3516			SHELL C.A.P.S.A.		1.817,12	2.199,00	19,01		NO
CAPITAL FEDERAL	Gas Oil Grado 2		OPESSA					VELEZ SARFIELD 850			YPF		1.552,59	2.112,00	274,15		NO
CAPITAL FEDERAL	Gas Oil Grado 2		NAFPUR S.A.					Larrazabal 3645			YPF		1.515,08	2.099,00	114,05		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ALBERDI 2299 SRL					AV. JUAN B. ALBERDI 2299			SHELL C.A.P.S.A.		1.775,20	2.219,00	19,38		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av Los Incas 3550			AXION		1.544,03	2.189,00	12,72		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ESTADÍAS Y SERVICIOS SA					ALMAFUERTE 187			AXION		1.568,02	2.189,00	251,92		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ROCCA COMBUSTIBLES S.A.					AV. ENTRE RIOS 1890			SHELL C.A.P.S.A.		1.581,52	2.199,00	100,77		NO
CAPITAL FEDERAL	Gas Oil Grado 2		BRAMO S.A.					AV. JUAN B. JUSTO 4407			SHELL C.A.P.S.A.		1.594,72	2.219,00	7,80		NO
CAPITAL FEDERAL	Gas Oil Grado 2		SUPER SERVICIOS S.A.					EUSTAQUIO CAMBIESES 1780			YPF		1.406,42	2.112,00	91,24		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Gaona 2399 (esq Trelles)			AXION		1.568,02	2.189,00	20,69		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Jujuy 164/196 (esq. Alsina)			AXION		1.568,02	2.189,00	16,71		NO
CAPITAL FEDERAL	Gas Oil Grado 2		FAST OIL S.A.					AV. SAN MARTIN 2401			SHELL C.A.P.S.A.		1.500,64	2.219,00	9,22		NO
CAPITAL FEDERAL	Gas Oil Grado 2		GARAGE Y EST.DE SERV.EL PROGRESO S.A.					AV. OLIVERA 1136			YPF		1.502,00	2.112,00	100,00		NO
CAPITAL FEDERAL	Gas Oil Grado 2		FGC FUELS MARKETING SA					Famatina 3387			SHELL C.A.P.S.A.		1.515,38	2.199,00	122,04		NO
CAPITAL FEDERAL	Gas Oil Grado 2		TRIGAS S.A.					AV.CNEL.ROCA N° 6883			SHELL C.A.P.S.A.		1.579,03	2.199,00	87,78		NO
CAPITAL FEDERAL	Gas Oil Grado 2		ROCCA COMBUSTIBLES S.A.					AV. ENTRE RIOS 1803			SHELL C.A.P.S.A.		1.581,52	2.199,00	98,66		NO
CAPITAL FEDERAL	Gas Oil Grado 2		CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO					AVDA ESCALADA 2951			YPF		1.498,59	2.318,00	45,98		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Autopista Gral. Paz 11200 (esq. Humaitá)			AXION		1.568,02	2.189,00	145,33		NO
CAPITAL FEDERAL	Gas Oil Grado 2		DEHEZA S.A.I.C.F.I.					AV. CORRIENTES 6535			SHELL C.A.P.S.A.		1.574,97	2.199,00	19,93		NO
CAPITAL FEDERAL	Gas Oil Grado 2		TECNOLOGIA D´ATRI SRL					BRASIL 2984			AXION		1.571,53	2.189,00	24,35		NO
CAPITAL FEDERAL	Gas Oil Grado 2		AUTOMOVIL CLUB ARGENTINO					godoy cruz 3151			YPF		1.509,83	2.112,00	63,51		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Libertador 2587 (esq. J. Salguero)			AXION		1.576,28	2.199,00	43,86		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PROYECTOS SUSTENTABLES S.A.					LISANDRO DE LA TORRE 2179			YPF		1.479,13	2.112,00	240,18		NO
CAPITAL FEDERAL	Gas Oil Grado 2		MONTES DE OCA 1885 S.R.L.					MONTES DE OCA 1885			SHELL C.A.P.S.A.		1.594,78	2.219,00	297,79		NO
CAPITAL FEDERAL	Gas Oil Grado 2		PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA					Av. Juan de Garay 1302 (esq. Santiago del Estero)			AXION		1.568,02	2.189,00	44,48		NO
